idx,split
0,train
1,train
2,train
3,train
4,test
5,train
6,val
7,train
8,train
9,test
10,train
11,val
12,train
13,train
14,train
15,train
16,val
17,train
18,train
19,train
20,train
21,test
22,train
23,test
24,train
25,train
26,train
27,train
28,train
29,train
30,train
31,test
32,train
33,train
34,train
35,train
36,train
37,train
38,train
39,test
40,test
41,val
42,test
43,train
44,train
45,train
46,train
47,test
48,train
49,val
50,train
51,train
52,train
53,train
54,train
55,train
56,train
57,train
58,train
59,test
60,train
61,train
62,val
63,train
64,test
65,train
66,train
67,val
68,train
69,train
70,train
71,test
72,test
73,train
74,test
75,train
76,val
77,val
78,test
79,train
80,train
81,test
82,train
83,train
84,train
85,val
86,train
87,train
88,train
89,train
90,test
91,test
92,val
93,train
94,train
95,train
96,train
97,val
98,test
99,train
100,val
101,test
102,train
103,val
104,test
105,train
106,train
107,train
108,val
109,train
110,train
111,train
112,train
113,val
114,train
115,train
116,test
117,train
118,train
119,train
120,test
121,test
122,train
123,test
124,train
125,train
126,train
127,train
128,train
129,train
130,val
131,train
132,train
133,train
134,train
135,train
136,train
137,train
138,train
139,train
140,train
141,train
142,train
143,val
144,train
145,train
146,train
147,test
148,train
149,train
150,train
151,train
152,test
153,train
154,val
155,train
156,train
157,train
158,train
159,train
160,val
161,test
162,train
163,train
164,train
165,train
166,train
167,train
168,train
169,train
170,train
171,train
172,val
173,test
174,train
175,train
176,train
177,val
178,train
179,train
180,train
181,train
182,train
183,val
184,train
185,train
186,val
187,train
188,train
189,train
190,train
191,train
192,val
193,train
194,train
195,test
196,train
197,train
198,train
199,test
200,val
201,val
202,train
203,test
204,train
205,train
206,train
207,train
208,train
209,train
210,val
211,test
212,val
213,train
214,train
215,test
216,train
217,train
218,train
219,train
220,train
221,val
222,train
223,train
224,test
225,train
226,train
227,test
228,train
229,train
230,val
231,test
232,test
233,val
234,train
235,train
236,val
237,train
238,val
239,val
240,train
241,train
242,train
243,train
244,val
245,train
246,train
247,test
248,train
249,train
250,train
251,train
252,train
253,train
254,test
255,val
256,train
257,train
258,test
259,train
260,train
261,train
262,train
263,train
264,train
265,test
266,val
267,train
268,train
269,train
270,train
271,train
